"","Integrante","Distrito","Universidad","Dias_de_publicación","Tiempo_transporte","Transporte_bool","Transporte_int","Precio","Tamaño","Servicios","Tiendas","Distancia","Amoblado","Baño","confiablidad_servicios","Calidad_habitacion","Comunicacion","Descripcion","Roomate","Fumar","Mascotas","Fiesta","Niños","Sitio_web"
"147","Caleb","Villa el Salvador","UCSUR",17,16,"Sí",1,450,9,4,2,2.3,"Completamente amoblada","Compartido",5,4,5,5,"Solo damas","No","No","No","No","roommates.pe"
"148","Caleb","Chorrillos","UCSUR",23,20,"Sí",4,700,16,5,4,10,"Completamente amoblada","Privado",5,4,4,4,"Cualquier genero","No","No","No","No","roommates.pe"
"149","Ann","Pueblo Libre","UDH",11,8,"Sí",4,1570,90,3,3,0.25,"No amoblada","Privado",5,5,5,5,"Cualquier genero","No muestra","Si","No muestra","Si","casas.trovit.com.pe"
"150","Caleb","Santiago de Surco","UTEC",5,20,"Sí",3,600,12,4,3,5,"Completamente amoblada","Privado",5,5,5,5,"Solo damas","No","No","No","No","roommates.pe"
"151","Leo","Chorrillos","UPN",60,3,"Sí",3,370,9,3,2,1,"Basicamente amoblada","Privado",3,3,3,3,"Cualquier genero","No","No","No","No","inmueble.mercadolibre.com.pe"
"152","Caleb","San Juan de Miraflores","UCSUR",12,30,"No",2,450,8,3,1,10.9,"Basicamente amoblada","Compartido",4,4,4,5,"Solo damas","No","No","No","No","roommates.pe"
"153","Ann","Pueblo Libre","PUCP",1,32,"Sí",4,1300,35,2,4,2.3,"No amoblada","Privado",5,5,5,5,"Cualquier genero","No muestra","Si","No muestra","No muestra","casas.trovit.com.pe"
"154","Ann","San Miguel","UPC",23,24,"Sí",5,1100,40,1,2,1.8,"No amoblada","Privado",4,5,5,5,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","casas.trovit.com.pe"
"155","Ann","San Miguel","UPC",16,24,"Sí",2,1000,30,1,2,1.7,"No amoblada","Privado",4,5,5,4,"Cualquier genero","No muestra","No muestra","No muestra","No muestra","casas.trovit.com.pe"
"156","Ann","San Miguel","UNMSM",11,12,"Sí",5,910,30,2,3,1.1,"No amoblada","Privado",5,5,4,4,"Cualquier genero","No muestra","No","No muestra","No muestra","casas.trovit.com.pe"
"157","Ann","San Miguel","UPC",7,21,"Sí",3,1640,70,5,4,1.5,"No amoblada","Privado",5,5,5,5,"Cualquier genero","No muestra","No muestra","No muestra","Si","casas.trovit.com.pe"
"158","Ann","Lince","UP",11,15,"Sí",3,1670,88,3,3,1,"No amoblada","Privado",4,5,5,5,"Cualquier genero","No muestra","Si","No muestra","Si","casas.trovit.com.pe"
